Date,Task,Status,Due,Priority
2025-06-24,Task,Not started,,None
2025-06-24,Create Doc,Not started,,None
2025-06-24,Create Doc,Not started,,None
2025-06-24,Test Task,Not started,,None
2025-06-24,✅ AI log test from Emjay agent,Not started,,None
2025-06-24,Unnamed Task,Not started,,None
2025-06-24,TikTok marketing ,Not started,2025-03-07,High
2025-06-24,"Create a landing page for unwritten and for declutter your space, declutter your mind and schedule emails",Not started,2025-03-05,High
2025-06-24,"List declutter your space, declutter your mind book on Amazon kdp",Done,2025-02-26,High
2025-06-24,Vitamin c & skin health education and information,Not started,2025-03-30,Low
2025-06-24,Task,Not started,2025-03-02,High
2025-06-24,Rescue Yourself course ,Not started,2025-03-08,High
2025-06-24,Finish adhd & trauma book & modules ,In progress,2025-03-08,High
2025-06-24,Format evolved manuscript,Done,2025-03-01,High
2025-06-24,Coming home to yourself course,In progress,2025-04-06,Medium
2025-06-24,12 module Wellness Reset course,In progress,2025-03-27,Medium
2025-06-24,Expand Emjay into a Global Brand,Not started,2025-04-20,High
2025-06-24,Break Money Scarcity Patterns,Not started,2025-03-22,High
2025-06-24,AI Team Support & Collaboration,Not started,2025-03-18,High
2025-06-24,Moving Past Emotional Abuse & Coercive Control Series,Not started,2025-03-25,Medium
2025-06-24,Hidden Trauma Responses Series,Not started,2025-03-09,High
2025-06-24, Hook Up TikTok to smarterqueue (for short-form video content),Done,2025-02-27,High
2025-06-24,Done-for-You Marketing System for AI Team,Not started,2025-03-12,High
2025-06-24,Analyze Birdcage Marketing Strategies & Apply to Emjay Spa & Wellness,Not started,2025-03-12,High
2025-06-24,Launch Flash Sale for Physical Products & Digital Offer,Not started,2025-03-11,High
2025-06-24,Finish Memberships in Kartra,In progress,2025-03-05,High
2025-06-24,Find & Set Up Website Widgets,Not started,2025-03-21,Medium
2025-06-24,DV Course,Not started,2025-03-11,High
2025-06-24,Invite team members,Done,2025-03-23,High
2025-06-24,Schedule kick-off meeting,In progress,2025-02-26,Medium
2025-06-24,Write project proposal,Done,2025-03-03,Low
2025-06-24,✅ AI log test from Emjay agent,Not started,,None
2025-06-24,Untitled,Not started,,None
2025-06-24,TikTok marketing ,Not started,2025-03-07,High
2025-06-24,"Create a landing page for unwritten and for declutter your space, declutter your mind and schedule emails",Not started,2025-03-05,High
2025-06-24,"List declutter your space, declutter your mind book on Amazon kdp",Done,2025-02-26,High
2025-06-24,Vitamin c & skin health education and information,Not started,2025-03-30,Low
2025-06-24,Task,Not started,2025-03-02,High
2025-06-24,Rescue Yourself course ,Not started,2025-03-08,High
2025-06-24,Finish adhd & trauma book & modules ,In progress,2025-03-08,High
2025-06-24,Format evolved manuscript,Done,2025-03-01,High
2025-06-24,Coming home to yourself course,In progress,2025-04-06,Medium
2025-06-24,12 module Wellness Reset course,In progress,2025-03-27,Medium
2025-06-24,Expand Emjay into a Global Brand,Not started,2025-04-20,High
2025-06-24,Break Money Scarcity Patterns,Not started,2025-03-22,High
2025-06-24,AI Team Support & Collaboration,Not started,2025-03-18,High
2025-06-24,Moving Past Emotional Abuse & Coercive Control Series,Not started,2025-03-25,Medium
2025-06-24,Hidden Trauma Responses Series,Not started,2025-03-09,High
2025-06-24, Hook Up TikTok to smarterqueue (for short-form video content),Done,2025-02-27,High
2025-06-24,Done-for-You Marketing System for AI Team,Not started,2025-03-12,High
2025-06-24,Analyze Birdcage Marketing Strategies & Apply to Emjay Spa & Wellness,Not started,2025-03-12,High
2025-06-24,Launch Flash Sale for Physical Products & Digital Offer,Not started,2025-03-11,High
2025-06-24,Finish Memberships in Kartra,In progress,2025-03-05,High
2025-06-24,Find & Set Up Website Widgets,Not started,2025-03-21,Medium
2025-06-24,DV Course,Not started,2025-03-11,High
2025-06-24,Invite team members,Done,2025-03-23,High
2025-06-24,Schedule kick-off meeting,In progress,2025-02-26,Medium
2025-06-24,Write project proposal,Done,2025-03-03,Low
2025-06-24,✅ AI log test from Emjay agent,Not started,,None
2025-06-24,Untitled,Not started,,None
2025-06-24,TikTok marketing ,Not started,2025-03-07,High
2025-06-24,"Create a landing page for unwritten and for declutter your space, declutter your mind and schedule emails",Not started,2025-03-05,High
2025-06-24,"List declutter your space, declutter your mind book on Amazon kdp",Done,2025-02-26,High
2025-06-24,Vitamin c & skin health education and information,Not started,2025-03-30,Low
2025-06-24,Task,Not started,2025-03-02,High
2025-06-24,Rescue Yourself course ,Not started,2025-03-08,High
2025-06-24,Finish adhd & trauma book & modules ,In progress,2025-03-08,High
2025-06-24,Format evolved manuscript,Done,2025-03-01,High
2025-06-24,Coming home to yourself course,In progress,2025-04-06,Medium
2025-06-24,12 module Wellness Reset course,In progress,2025-03-27,Medium
2025-06-24,Expand Emjay into a Global Brand,Not started,2025-04-20,High
2025-06-24,Break Money Scarcity Patterns,Not started,2025-03-22,High
2025-06-24,AI Team Support & Collaboration,Not started,2025-03-18,High
2025-06-24,Moving Past Emotional Abuse & Coercive Control Series,Not started,2025-03-25,Medium
2025-06-24,Hidden Trauma Responses Series,Not started,2025-03-09,High
